Person 91
Starting Actual Velocity = [1.19636599 0.31435855]
[18.81785797  4.94615449]
[19.63371714  5.16647593]
[19.83274513  5.22517527]
[19.88967686  5.24696828]
[19.90078678  5.25646284]
[19.89903506  5.26224403]
[19.89394427  5.2668465 ]
[19.88819364  5.27119725]
[19.88277806  5.27546985]
[19.87772554  5.28007055]
[19.87372002  5.28449999]
[19.87006629  5.28948231]
[19.86706551  5.294794  ]
[19.86451143  5.30078351]
[19.86217192  5.30805388]
[19.86110954  5.31536717]
[19.85961225  5.32525337]
[19.85581402  5.34155538]
[19.86127423  5.35039056]
[19.86445803  5.36224311]
[19.86460652  5.38077762]
[19.86923027  5.39541753]
[19.87316345  5.41252349]
[19.87708257  5.4317179 ]
[19.88130433  5.45302204]
[19.88209919  5.48464561]
[19.88834398  5.51399826]
[19.89868873  5.53972117]
[19.90869636  5.56817876]
[19.91911528  5.59880973]
[19.93007968  5.63209033]
[19.94225058  5.667363  ]
[19.95599386  5.70423739]
[19.97154504  5.74241855]
[19.98907722  5.78164132]
[19.89863722  6.05025498]
[19.87383261  6.17428934]
[19.87712699  6.23731632]
[19.88277606  6.29806887]
[19.91110013  6.31937709]
[19.94364009  6.33168109]
[19.97604346  6.34436506]
[20.00190072  6.37808098]
[20.04139625  6.38213335]
[20.07873239  6.39001978]
[20.11451422  6.40168922]
[20.14973248  6.41502005]
[20.18468178  6.42908294]
[20.2188172   6.44628463]
[20.25291181  6.463591  ]
[20.2864477   6.48256988]
[20.32108778  6.49130223]
[20.35311691  6.50481547]
[20.3830736   6.52067285]
[20.41069616  6.54120038]
[20.43791843  6.54942442]
[20.4614245   6.56617766]
[20.48261578  6.57946262]
[20.5007633   6.59276572]
[20.51575229  6.60402502]
[20.52700452  6.61800365]
[20.55140642  6.40141054]
[20.55743822  6.31883666]
[20.55306572  6.35074897]
[20.53703379  6.34130767]
[20.51597571  6.34181836]
[20.49124943  6.36073544]
[20.46330299  6.41657035]
[20.42923014  6.45411159]
[20.38998425  6.46941692]
[20.3471087   6.48317151]
[20.3005315  6.4967125]
[20.25018482  6.51230983]
[20.19576104  6.53087343]
[20.13671738  6.55829608]
[20.07274498  6.56028104]
[20.00594415  6.56039471]
[19.93618213  6.55499443]
[19.86396519  6.53953931]
[19.79031329  6.51109651]
[19.71609771  6.46994143]
[19.64174169  6.41524366]
[19.54798809  6.30712862]
[19.46422222  6.19644392]
[19.38768265  6.07563966]
[19.31739499  5.9402679 ]
[19.25091634  5.784808  ]
[19.75960053  5.4900093 ]
[19.99481737  5.24678581]
[20.07114944  5.04233763]
[20.04983809  4.86779897]
[19.96154351  4.72148807]
[19.82018282  4.61247395]
[19.70634121  4.46449705]
[19.59072455  4.34521327]
[19.46941884  4.25874363]
[19.34592832  4.19771564]
[19.19539242  4.2191356 ]
[19.04369543  4.29329046]
[18.93751059  4.22838239]
[18.82252055  4.20861332]
[18.6857669   4.22926886]
[18.52074461  4.274     ]
[17.6340355   4.69430625]
[17.09062661  4.8970692 ]
[16.79545643  4.9431054 ]
[16.4740151   4.44600757]
[16.30159711  4.06287587]
[16.19323194  3.7874394 ]
[16.09720027  3.60954417]
[15.98553998  3.50186333]
[15.84896522  3.43773085]
[15.68821209  3.41550456]
[15.50657847  3.40600966]
[15.30928361  3.38830204]
[15.09812838  3.36962251]
[14.87458466  3.32432303]
[14.64392081  3.21092895]
[14.41524394  3.01947892]
[14.20085559  2.77963831]
[14.02176082  2.5298591 ]
[13.90794393  2.30377423]
[13.87996764  2.1399567 ]
[13.94094026  2.07018256]
[14.05883467  2.06866428]
[14.20404591  2.1068271 ]
[14.38355601  2.18579681]
[14.64772237  2.33159205]
[14.9437577   2.40498633]
[15.70532397  2.89860777]
[16.4474261   2.83578348]
[16.67570593  2.5814197 ]
[16.56391636  2.32749648]
[16.12464678  2.09327279]
[15.43724765  1.91118172]
[14.66765733  2.10077642]
[13.88899541  2.32122781]
[13.47397418  2.41448189]
[13.3293818   2.49565157]
[13.45153999  2.61329235]
[13.73043504  2.72796212]
[14.1144192   2.88495239]
[14.5301193   3.09245786]
[14.94587892  3.36858774]
[15.31040039  3.71970158]
[15.64025247  4.17000795]
[15.93593701  4.72818455]
[16.18556619  5.36409846]
[16.36850733  6.03152604]
[16.4250323  6.6518626]
[16.29386033  7.15675847]
[15.93512533  7.51655418]
[15.35193952  7.74713331]
[14.77318596  7.93661947]
[14.22710881  8.08323453]
[13.80006185  8.21476206]
[13.35695321  8.27266856]
[12.70825574  8.19823916]
[11.6891224   7.89065283]
[10.28672738  7.19194509]
[7.36584404 4.45024006]
[7.71335752 2.43841444]
[8.56659345 0.80549047]
[9.99538402 0.06265816]
[12.0293195   0.44597753]
[14.52375935  1.82029669]
[17.20308076  3.60745321]
[19.84061217  5.24723149]
[22.07749911  6.30401747]
[23.67313961  6.6326346 ]
[24.13304183  6.31910651]
[24.09314773  6.00697742]
[21.43126409  5.42447787]
[16.30103042  4.76038604]
[10.16877357  4.18721198]
[5.26289833 3.89102282]
[2.87496585 4.0432558 ]
[3.31635682 4.83095003]
[5.64088076 6.15510466]
[10.97736496  9.07653913]
[14.01053315 11.55782272]
[15.42819079 14.30739802]
[15.46596739 16.4760348 ]
[15.91043081 16.81884027]
[21.52234657 20.634785  ]
[26.72339179 23.2908214 ]
[31.97109101 25.19178139]
[36.61787    25.70676632]
[40.56228417 24.2692624 ]
[43.53637396 20.50132087]
[43.57409279 14.25306038]
