Person 91
Starting Actual Velocity = [ 1.2201056  -0.28728654]
[19.1875677  -4.51805442]
[19.96518141 -4.71345272]
[20.11615177 -4.76131955]
[20.12446381 -4.77532049]
[20.0917796  -4.77822191]
[20.05146952 -4.7778499 ]
[20.01250808 -4.77649738]
[19.97634452 -4.77484109]
[19.94393425 -4.77310949]
[19.91407774 -4.77135529]
[19.88864436 -4.76970577]
[19.86509982 -4.76818142]
[19.84396701 -4.76682791]
[19.8245088  -4.76565804]
[19.80601934 -4.76465799]
[19.79028208 -4.76389119]
[19.77458967 -4.76338826]
[19.75782099 -4.76310837]
[19.75022442 -4.76272179]
[19.74139157 -4.76312768]
[19.73053207 -4.76439555]
[19.72201566 -4.76604954]
[19.71347804 -4.76829284]
[19.70499236 -4.77112188]
[19.69670064 -4.77453396]
[19.68758641 -4.77910994]
[19.68026986 -4.78423474]
[19.6742436  -4.78967776]
[19.66829284 -4.79578678]
[19.66238536 -4.80259895]
[19.65654434 -4.81020292]
[19.65089439 -4.81861988]
[19.64550866 -4.82787633]
[19.64041789 -4.83800282]
[19.63562892 -4.84903118]
[19.63119455 -4.86083945]
[19.62699005 -4.87358291]
[19.62304824 -4.88719606]
[19.61882185 -4.90376543]
[19.61588396 -4.92031633]
[19.61331107 -4.93709438]
[19.61075396 -4.95449825]
[19.60789787 -4.97476807]
[19.6058258  -4.99404238]
[19.60382159 -5.01377029]
[19.60182316 -5.03413481]
[19.59989567 -5.05508776]
[19.5980983 -5.0765786]
[19.59644622 -5.09885905]
[19.59501265 -5.12174797]
[19.5938152  -5.14535814]
[19.59293084 -5.16849085]
[19.59220899 -5.19198475]
[19.59166212 -5.21577387]
[19.59131458 -5.24015062]
[19.59123406 -5.263705  ]
[19.59132509 -5.28768655]
[19.59162413 -5.31135936]
[19.59212027 -5.33482897]
[19.59280538 -5.3578617 ]
[19.59367552 -5.38073948]
[19.59473977 -5.403257  ]
[19.59605045 -5.42622801]
[19.59794884 -5.45306704]
[19.60038747 -5.47638805]
[19.60285984 -5.49782216]
[19.6053613  -5.51858996]
[19.60817898 -5.5407316 ]
[19.6112642  -5.56207235]
[19.61445314 -5.58172236]
[19.61771598 -5.60026531]
[19.62103021 -5.61780811]
[19.62444707 -5.63467901]
[19.62805906 -5.65125222]
[19.63209691 -5.66835668]
[19.63624469 -5.68441449]
[19.64067824 -5.70030988]
[19.64540277 -5.71600609]
[19.65034407 -5.73133627]
[19.65553946 -5.74624465]
[19.66100741 -5.76080073]
[19.66684339 -5.77522697]
[19.67276002 -5.78882528]
[19.67896088 -5.8020777 ]
[19.68545268 -5.81496543]
[19.6921944 -5.8274058]
[19.69971527 -5.84030397]
[19.70751809 -5.85286034]
[19.71539855 -5.86475186]
[19.72337509 -5.87592282]
[19.73152465 -5.8864053 ]
[19.7399887  -5.89634045]
[19.74939915 -5.90642824]
[19.76064841 -5.91774909]
[19.77074385 -5.92802623]
[19.78096074 -5.93759412]
[19.79142706 -5.94620664]
[19.80181275 -5.95354559]
[19.81412116 -5.96089654]
[19.82820014 -5.96890869]
[19.83974538 -5.97597924]
[19.85128871 -5.98195919]
[19.86273074 -5.9863111 ]
[19.87391323 -5.98895392]
[19.88474852 -5.99007737]
[19.89527368 -5.98993147]
[19.90587446 -5.98870435]
[19.91637801 -5.98665893]
[19.92682888 -5.98399928]
[19.93725006 -5.98085602]
[19.94786102 -5.97718643]
[19.95831741 -5.97284211]
[19.9684629  -5.96783022]
[19.97875937 -5.96195222]
[19.98897123 -5.95548215]
[19.99898232 -5.94865528]
[20.00929503 -5.94123875]
[20.01995167 -5.93339417]
[20.0306216  -5.92558643]
[20.04102963 -5.9180079 ]
[20.0513696 -5.9103214]
[20.0619882  -5.90211513]
[20.07273715 -5.89345789]
[20.08347994 -5.88443867]
[20.09433865 -5.87487712]
[20.10471871 -5.86510391]
[20.11438596 -5.85498683]
[20.12377049 -5.84372528]
[20.13371805 -5.83002224]
[20.14246742 -5.81585119]
[20.15743286 -5.7914443 ]
[20.17088198 -5.77454509]
[20.18054415 -5.76041424]
[20.18895619 -5.74361354]
[20.1959085 -5.7227868]
[20.20152452 -5.69650009]
[20.20571291 -5.66372738]
[20.20925384 -5.61891862]
[20.20994757 -5.57533014]
[20.20931523 -5.52792767]
[20.20773666 -5.46863485]
[20.20442903 -5.40927119]
[20.1999111 -5.3433163]
[20.19407491 -5.27128509]
[20.18683596 -5.19076601]
[20.14357647 -4.93480245]
[20.10885254 -4.72084212]
[20.08101596 -4.53935963]
[20.05894147 -4.38718708]
[20.04042878 -4.25230784]
[20.02414089 -4.13021254]
[20.00880902 -4.01740356]
[19.99320813 -3.91127022]
[20.06642779 -3.97369066]
[20.11286868 -3.99375405]
[20.13676822 -3.97901078]
[20.14156228 -3.93574631]
[20.12886149 -3.87043862]
[20.10030986 -3.78802493]
[20.05607108 -3.69219467]
[19.96728909 -3.50547013]
[19.88544954 -3.41697318]
[19.79476683 -3.33612504]
[19.69198855 -3.26337478]
[19.57506965 -3.2008384 ]
[19.44605359 -3.15209551]
[19.30305223 -3.11672245]
[19.14089807 -3.0944292 ]
[18.96051971 -3.08689381]
[18.75567316 -3.09484819]
[18.52825296 -3.11935251]
[18.29667425 -3.1567071 ]
[18.04736066 -3.20723931]
[17.78237241 -3.26955104]
[17.50931445 -3.34011871]
[17.23715325 -3.41425373]
[16.96299899 -3.49106385]
[16.70356486 -3.56260322]
[16.45479111 -3.6285236 ]
[16.22141551 -3.68444789]
[16.00417586 -3.72879596]
[15.76129779 -3.7716817 ]
[15.53919838 -3.79341806]
