Person 91
Starting Actual Velocity = [1.06954531 0.5497892 ]
[16.8827665   8.61369353]
[17.61384522  8.9967876 ]
[17.79867638  9.09433107]
[17.86144327  9.12451903]
[17.88273277  9.13355512]
[17.89182705  9.13647601]
[17.89723465  9.13763524]
[17.90256832  9.13784053]
[17.90723849  9.13814344]
[17.91372306  9.13766808]
[17.91652124  9.13901968]
[17.92162048  9.13946155]
[17.92591916  9.14043424]
[17.93125432  9.14115043]
[17.94005394  9.14067598]
[17.94320174  9.14289427]
[17.95511358  9.14182565]
[17.99515603  9.1297193 ]
[17.97458136  9.14379114]
[17.97012729  9.15086499]
[17.98663056  9.15026337]
[17.98060465  9.15845837]
[17.98020152  9.16464091]
[17.98208716  9.17025597]
[17.98524741  9.17582411]
[18.00688693  9.17640186]
[18.01284215  9.18339092]
[18.00745482  9.19432461]
[18.00603262  9.2044249 ]
[18.00638861  9.21456738]
[18.00862375  9.22498398]
[18.01132491  9.23624131]
[18.01391699  9.24862443]
[18.01613855  9.26231181]
[18.01784342  9.27744227]
[18.01708942  9.2943658 ]
[18.01669852  9.31264817]
[18.01497467  9.33262627]
[18.03716868  9.35235343]
[18.02682944  9.3792126 ]
[18.01220273  9.40726282]
[18.00027034  9.43581764]
[18.01012262  9.46590796]
[17.98928031  9.49889697]
[17.97271076  9.53205688]
[17.95925597  9.56586971]
[17.9465732   9.60050249]
[17.93374022  9.63589718]
[17.92249212  9.67232037]
[17.91042723  9.70942882]
[17.89875757  9.74719447]
[17.87949697  9.7832055 ]
[17.86337188  9.8187652 ]
[17.84856287  9.8534186 ]
[17.8365323   9.88743058]
[17.81703184  9.91725725]
[17.80316268  9.94586218]
[17.78767753  9.97081068]
[17.77291436  9.9922252 ]
[17.75775899 10.00923841]
[17.74508621 10.02241553]
[17.63445505 10.01979084]
[17.58196523 10.01697631]
[17.58075016 10.0179287 ]
[17.55788258  9.99855459]
[17.5414498   9.97383444]
[17.53655987  9.94657388]
[17.55628052  9.91915389]
[17.56953006  9.88247226]
[17.57239234  9.83820578]
[17.57854135  9.79105074]
[17.58913855  9.74187362]
[17.60725784  9.69162288]
[17.63608857  9.64087384]
[17.68732869  9.59046727]
[17.71874662  9.53749407]
[17.76261687  9.48644337]
[17.817166    9.43720277]
[17.87806644  9.38994763]
[17.94199568  9.34512863]
[18.01402919  9.30283286]
[18.10233592  9.2622285 ]
[18.17858347  9.22541516]
[18.2718948   9.19076694]
[18.37773728  9.15603626]
[18.48634649  9.11967433]
[18.64696463  9.07023241]
[18.41079334  9.35837373]
[18.30649056  9.45788889]
[18.28257468  9.43728372]
[18.31136942  9.33274915]
[18.37698975  9.16277983]
[18.51589965  8.92435842]
[18.77485435  8.60184967]
[18.61527587  8.31835144]
[18.42481422  8.00293908]
[18.21517379  7.64163176]
[17.90917138  7.2263655 ]
[17.8574528   6.72830023]
[17.92865075  6.2419963 ]
[17.34867886  5.83941347]
[16.90182265  5.55369475]
[16.56849508  5.39941666]
[17.77453108  5.81274757]
[18.18465731  5.99014363]
[18.10168675  5.99624984]
[17.65824599  5.88333286]
[17.09775213  5.74174421]
[16.55661914  5.622023  ]
[16.13525476  5.54987621]
[15.77724255  5.4855194 ]
[15.43946069  5.39139318]
[15.15707341  5.26045435]
[14.8545712   5.08377324]
[14.53273032  4.90147704]
[14.31770456  4.7919646 ]
[14.23620761  4.8214426 ]
[14.19902484  4.98384355]
[14.1258084   5.20560699]
[14.03542443  5.4320866 ]
[13.96004035  5.64294474]
[13.85586512  5.80593621]
[13.73102076  5.8910914 ]
[13.70815641  5.89291447]
[13.85836218  5.80118109]
[14.23407426  5.63810837]
[14.91561347  5.44470687]
[15.99706446  5.25573364]
[16.60331627  5.070236  ]
[19.16445681  5.18648263]
[17.99966989  5.2875033 ]
[15.32409063  4.0750213 ]
[13.57423629  3.13705433]
[12.70870848  2.2589273 ]
[12.60726018  1.3224588 ]
[13.34808374  0.42869927]
[15.40352201  0.02319172]
[16.50385903  0.43032299]
[17.46851849  1.25948683]
[18.67484479  2.34620793]
[19.1229909   2.92182254]
[19.2741305   3.05284277]
[18.94072612  2.69673376]
[17.90651729  1.91669765]
[16.0256299   0.88949772]
[13.43599125 -0.22245573]
[11.04824807 -0.81868426]
[ 9.14497315 -0.47421612]
[7.63041076 0.89709825]
[6.26487994 2.83998988]
[4.93975773 4.72490101]
[3.70766195 6.12188211]
[4.28188293 8.05041832]
[4.38922447 8.84202205]
[4.14211233 9.0999722 ]
[3.58076035 9.47426682]
[ 3.21726168 10.48422819]
[ 3.68093086 12.22172906]
[ 5.35727222 14.41256964]
[ 8.13817264 16.70629281]
[15.23374758 18.90475233]
[18.27463065 22.3370443 ]
[20.80000265 22.74467226]
[23.19445105 19.89180542]
[25.59276901 16.71111933]
[27.2897805  14.60498355]
[28.67876338 13.93520343]
[30.49142818 13.82794428]
[33.13108945 13.58245228]
[36.27291174 13.38045442]
[38.31996176 13.67970683]
