Person 91
Starting Actual Velocity = [1.12649291 0.2750226 ]
[18.38468985  4.29795231]
[19.11992679  4.51282761]
[19.29490466  4.57287811]
[19.36365881  4.59205256]
[19.38698481  4.60001149]
[19.39643511  4.60462235]
[19.40133096  4.6081312 ]
[19.40995587  4.60994106]
[19.41581552  4.61201431]
[19.42970326  4.61181542]
[19.425797    4.61592531]
[19.43199258  4.61725409]
[19.43422609  4.61936791]
[19.44024861  4.62032015]
[19.45849162  4.61782902]
[19.45448055  4.62128271]
[19.48043462  4.61617038]
[19.58363376  4.58093426]
[19.50487715  4.61283937]
[19.47620293  4.62525739]
[19.50906798  4.61824638]
[19.47741585  4.62917924]
[19.46305761  4.6343353 ]
[19.45611875  4.63691067]
[19.45339549  4.63805649]
[19.49720034  4.62722153]
[19.5003786   4.62743869]
[19.47686425  4.63390725]
[19.46411484  4.63713612]
[19.45676266  4.63866545]
[19.45479095  4.63878274]
[19.45474607  4.63832202]
[19.45530865  4.63761772]
[19.45597552  4.63680261]
[19.3646597   4.47093304]
[19.33003912  4.41507551]
[19.32125286  4.40253941]
[19.32038336  4.40666433]
[19.37206766  4.42309808]
[19.36292846  4.43518912]
[19.34677023  4.44505076]
[19.337205   4.4542513]
[19.36931482  4.46732747]
[19.34785687  4.47388701]
[19.33487432  4.47988572]
[19.32854864  4.48560499]
[19.3246633   4.49077566]
[19.32148342  4.49534577]
[19.32198843  4.49989611]
[19.32186264  4.50394587]
[19.32301589  4.50783481]
[19.31149547  4.50957046]
[19.30510986  4.51161703]
[19.30069128  4.51363263]
[19.30053085  4.51609379]
[19.28730339  4.51631959]
[19.2823198   4.51765245]
[19.27354486  4.51821387]
[19.26453535  4.51860055]
[19.25333521  4.51852172]
[19.2444056   4.51888431]
[19.2133339   4.53427728]
[19.20035526  4.54437201]
[19.24374462  4.5574888 ]
[19.20028261  4.56047247]
[19.15715885  4.56107981]
[19.12902994  4.56274002]
[19.13537816  4.56891405]
[19.12319708  4.57324396]
[19.09054441  4.57493749]
[19.05848076  4.57612856]
[19.0282518   4.57698022]
[19.00245108  4.57794124]
[18.98271125  4.57932838]
[18.97726282  4.58214224]
[18.94735065  4.58213661]
[18.92243666  4.58203081]
[18.89987549  4.58144205]
[18.87596227  4.57990686]
[18.84871778  4.5771048 ]
[18.82164412  4.57317244]
[18.79903353  4.56830528]
[18.76423099  4.56121232]
[18.73418527  4.55280036]
[18.70639861  4.54275681]
[18.67690956  4.53076229]
[18.6674652   4.51759116]
[18.63593974  4.49922408]
[18.59175107  4.47841967]
[18.54554176  4.45529894]
[18.50256837  4.43000129]
[18.46587143  4.40265074]
[18.45307944  4.37382203]
[18.48149871  4.34404312]
[18.39549266  4.30892205]
[18.31903808  4.27243779]
[18.25503789  4.23466873]
[18.18826672  4.19493014]
[18.18502346  4.15968909]
[18.19430915  4.1265487 ]
[18.05292535  4.0793072 ]
[17.93793956  4.03651703]
[17.84219859  3.99776006]
[17.75571211  3.96230776]
[17.67217812  3.92974296]
[17.59136031  3.90037298]
[17.52379985  3.87683174]
[17.28060447  3.90813423]
[17.11320827  3.92155248]
[16.99999477  3.9241662 ]
[16.93430767  3.92235815]
[16.88764285  3.91608067]
[16.84866266  3.90700023]
[16.83426879  3.89952967]
[16.8263353   3.88951004]
[16.81522314  3.87971939]
[16.82152791  3.87262598]
[16.8377546   3.86733359]
[16.84047041  3.86133943]
[16.82066067  3.85353234]
[16.79390321  3.84508492]
[16.77466498  3.83709788]
[16.75083249  3.82863978]
[16.71363399  3.81937721]
[16.66784652  3.81013615]
[16.59056015  3.80000738]
[16.48606994  3.78943974]
[16.37953135  3.78050407]
[16.30281508  3.77689856]
[16.17549494  3.77475352]
[16.40952762  3.8056532 ]
[16.23206357  3.85206511]
[15.92526621  3.88893346]
[15.65741748  3.92756993]
[15.42767824  3.96764552]
[15.24037263  4.01077242]
[15.08478868  4.05021184]
[15.01425354  4.08935958]
[14.82862768  4.11687843]
[14.64495856  4.1394467 ]
[14.52314742  4.16185713]
[14.34925482  4.1819837 ]
[14.19295279  4.20154384]
[14.04626025  4.22036274]
[13.92002985  4.23777203]
[13.79167704  4.25317779]
[13.6744931   4.26359408]
[13.56482536  4.26603011]
[13.44585095  4.2598118 ]
[13.33240503  4.23965485]
[13.22312216  4.20395714]
[13.11903079  4.15288111]
[13.02346495  4.08831044]
[12.93250535  4.01679796]
[12.85208792  3.94127746]
[12.7860515   3.86390226]
[12.73550661  3.7857848 ]
[12.70885098  3.7022994 ]
[12.68960413  3.61818123]
[12.68313871  3.52605343]
[12.6922975   3.41752676]
[13.72478622  2.72581272]
[13.30563902  2.81042506]
[12.94687774  2.84488466]
[12.68015144  2.80947436]
[12.51398907  2.70532215]
[12.41914716  2.56346209]
[12.39229959  2.39618057]
[12.44070625  2.20858728]
[12.5253511   2.03469014]
[12.65058515  1.87922062]
[12.76588424  1.77256554]
[12.77340002  1.75447224]
[12.74312137  1.77771436]
[12.65696778  1.83612679]
[12.49609317  1.9217261 ]
[12.26230812  2.01985342]
[11.99572654  2.10081193]
[11.69457815  2.16616589]
[11.45068473  2.16311973]
[11.20253864  2.14046438]
[10.95678091  2.10573056]
[10.87918976  1.93140838]
[10.74512323  1.77399834]
[10.41711933  1.73138399]
[10.02306441  1.71824027]
[9.60068603 1.73069496]
[9.23465443 1.68032429]
[8.91004624 1.58713196]
[8.62238226 1.44678506]
[8.35502929 1.26145964]
[8.07967438 1.05125963]
[7.7791218  0.81836265]
[7.46382015 0.51511772]
[7.08301672 0.37260332]
[6.80058388 0.25609975]
[6.62415697 0.25465188]
[6.63597543 0.29958676]
[6.83622759 0.38169101]
[7.20811001 0.49354901]
[7.7449171  0.63331678]
[8.32774715 0.79885428]
[8.90953443 0.98108369]
[9.42373344 1.16747442]
[9.83669557 1.34613868]
[10.21632259  1.52159003]
[10.23156793  1.62421525]
[10.12552467  1.67026507]
[9.95349577 1.64882647]
[9.76037233 1.55507243]
[9.58901814 1.39850244]
[9.49234589 1.18334845]
[9.45893168 0.9382909 ]
[9.48608094 0.6916539 ]
[9.58906821 0.47541417]
[9.72743091 0.31053086]
[9.92188998 0.19463239]
[10.1462542   0.13710148]
[10.41746385  0.14161931]
[10.60642102  0.19882447]
[10.82388765  0.30424786]
[11.21165116  0.48656342]
[11.52557951  0.70214301]
[11.78956667  0.94289765]
[12.03579501  1.21847098]
[12.269292    1.54200306]
[12.44253307  1.90729398]
[12.47985739  2.28229755]
[12.42101995  2.71154456]
[12.23228639  3.17844985]
[11.91233173  3.65984942]
[11.48271467  4.17968994]
[10.9787334   4.71633287]
[10.45624686  5.26716968]
[9.97866093 5.83163138]
[9.61919392 6.43936131]
[9.42994278 7.01868457]
[9.45083444 7.62954422]
[9.70368304 8.27796646]
[10.12443063  8.89823754]
[10.71353885  9.50874851]
[11.36197302 10.05315229]
[12.06747812 10.55419622]
[12.7944431  11.00770446]
[13.392966   11.35998088]
[13.86793617 11.61318198]
[14.10343458 11.71817545]
[14.22623763 11.67432613]
[14.13616635 11.51089833]
[13.86230605 11.20841598]
[13.34984105 10.74819422]
[12.78927349 10.32039315]
[11.86808491  9.79982851]
[10.65270578  9.27860147]
[9.27462131 8.85819256]
[7.917234   8.61156707]
[6.77632106 8.56131384]
[6.00969213 8.67856785]
[5.69744215 8.90029396]
[5.84691788 9.16869577]
[6.64678112 9.50799157]
[7.5422512  9.61558443]
[8.36382528 9.51144686]
[9.03545687 9.17707266]
[9.90004581 9.00535749]
[10.34888177  8.48278729]
[10.51396681  7.63166249]
[10.52331545  6.41368436]
[10.48290241  4.92097528]
[10.52885943  3.21985421]
[10.78869358  1.44246012]
[11.27270724  0.03317492]
[16.2636509  -0.12770955]
[20.16349568  0.37206206]
[22.71516876  1.55939804]
[24.1851563   3.33869836]
[24.83499609  5.84090145]
[24.68920693  8.87547434]
[24.03283002 11.52813552]
[23.23101288 13.52114738]
[21.78085281 15.70292457]
[21.06226653 15.73133656]
[20.38867329 15.09765209]
[19.69077531 13.94462667]
[19.00921322 12.50204157]
[18.31208366 10.95074826]
[17.65748002  9.51964322]
[17.10087064  8.36429073]
[18.57779518 12.90449108]
[19.99859191 16.39678674]
[21.48679139 19.15659915]
[23.01776076 21.20345411]
[24.54009691 22.59209857]
[25.97376055 23.39510569]
[27.19529156 23.68338796]
[27.99805885 23.48865505]
