Person 91
Starting Actual Velocity = [1.11551449 0.44294879]
[17.54332437  6.9661083 ]
[18.31084942  7.27094696]
[18.50414843  7.34777965]
[18.56547335  7.37221941]
[18.58361963  7.379523  ]
[18.58909933  7.38180631]
[18.59076194  7.38258374]
[18.59124997  7.38290746]
[18.59134546  7.38308772]
[18.59130969  7.38323389]
[18.59122566  7.38337032]
[18.59111811  7.38351612]
[18.590996    7.38367231]
[18.59085898  7.38384377]
[18.59070086  7.3840393 ]
[18.59053239  7.38424581]
[18.59033229  7.38448935]
[18.59005889  7.38481966]
[18.58981777  7.3851083 ]
[18.58955844  7.38541699]
[18.58923784  7.38579642]
[18.5889235   7.38616582]
[18.5885853   7.38656109]
[18.58821933  7.38698648]
[18.58782113  7.38744684]
[18.58732499  7.38801734]
[18.58678848  7.38863022]
[18.58624284  7.3892498 ]
[18.58565698  7.38991159]
[18.58502458  7.39062222]
[18.58433379  7.39139438]
[18.583579   7.3922336]
[18.58275429  7.39314566]
[18.58185324  7.39413675]
[18.5808689   7.39521356]
[18.57980738  7.39636841]
[18.57864957  7.39762117]
[18.5773948   7.39897135]
[18.57584066  7.40063441]
[18.5742507   7.40232383]
[18.57259844  7.40406912]
[18.5708353  7.4059212]
[18.5687157   7.40813528]
[18.56662474  7.41030427]
[18.56440167  7.41259733]
[18.56200852  7.41505181]
[18.55943339  7.41767751]
[18.55666467  7.42048376]
[18.55364892  7.42352186]
[18.55038586  7.4267883 ]
[18.54683271  7.43032205]
[18.54314792  7.43396202]
[18.53917842  7.43785824]
[18.53490268  7.44202725]
[18.53023376  7.44654831]
[18.52541809  7.45117733]
[18.52017612  7.45618121]
[18.51463084  7.46143513]
[18.50873327  7.46698074]
[18.50251586  7.47278176]
[18.49587441  7.47892968]
[18.48883947  7.48538803]
[18.48111527  7.49241854]
[18.47142743  7.50115182]
[18.46260393  7.50899051]
[18.45385303  7.51668774]
[18.44458269  7.52476817]
[18.43376372  7.53410539]
[18.42254116  7.54365999]
[18.41146639  7.55295896]
[18.40017186  7.56232334]
[18.38859083  7.57180389]
[18.37654754  7.58153392]
[18.36383922  7.59165648]
[18.34990834  7.60257749]
[18.33630492  7.61303468]
[18.32216586  7.62370501]
[18.30748959  7.63456053]
[18.29241355  7.64546781]
[18.27709197  7.65629022]
[18.26141754  7.6670833 ]
[18.24513103  7.67799162]
[18.22911297  7.68838753]
[18.21266867  7.69872673]
[18.19581215  7.7089573 ]
[18.17872326  7.7189247 ]
[18.16016166  7.72928536]
[18.14178075  7.73896508]
[18.12393838  7.7477883 ]
[18.10630018  7.75597126]
[18.0885265  7.7636808]
[18.07028305  7.77102189]
[18.05037324  7.77834694]
[18.0276707  7.7856759]
[18.00919915  7.79036135]
[17.99088977  7.79423192]
[17.97210917  7.79748228]
[17.95339156  7.79996887]
[17.93124119  7.80202193]
[17.90728061  7.80258755]
[17.88937007  7.80128415]
[17.87134237  7.7992906 ]
[17.85284439  7.79674141]
[17.83403277  7.79367823]
[17.81513112  7.79013038]
[17.79617997  7.78611578]
[17.77659303  7.78151293]
[17.75684109  7.77636059]
[17.73697964  7.77065262]
[17.71705426  7.76439985]
[17.69666236  7.75747415]
[17.67653691  7.75007748]
[17.65694029  7.74236689]
[17.63697388  7.73408118]
[17.61714686  7.725411  ]
[17.59773042  7.71651042]
[17.57782852  7.70703184]
[17.55752638  7.69695881]
[17.53763295  7.68661004]
[17.51865517  7.67628781]
[17.49936038  7.66543034]
[17.48012173  7.65431159]
[17.46122139  7.64302328]
[17.44296284  7.63166148]
[17.42521887  7.62008874]
[17.40889351  7.6088215 ]
[17.39409503  7.59806101]
[17.37998249  7.58736662]
[17.36544169  7.57585571]
[17.34026425  7.57342168]
[17.30743863  7.56603263]
[17.29095823  7.55443061]
[17.28237629  7.54404747]
[17.27564622  7.53391638]
[17.26987104  7.52418245]
[17.2645181   7.51462736]
[17.25947253  7.5051818 ]
[17.25425548  7.49462481]
[17.25097501  7.48588308]
[17.24850605  7.47756636]
[17.24636736  7.46840493]
[17.24522139  7.46023509]
[17.24463052  7.45201942]
[17.24454823  7.44383664]
[17.24492548  7.43540035]
[17.24574304  7.42699375]
[17.24695091  7.41832523]
[17.24850568  7.40932566]
[17.25030433  7.40019678]
[17.25229191  7.39063386]
[17.25437698  7.38057157]
[17.25646207  7.36993794]
[17.25843682  7.35865633]
[17.26014682  7.34682839]
[17.26144551  7.33442448]
[17.26216702  7.32141774]
[17.26213574  7.30778234]
[17.26115617  7.29325822]
[17.25904064  7.27801324]
[17.25555817  7.2617507 ]
[17.25038522  7.24409501]
[17.23750066  7.20962814]
[17.23021803  7.18727135]
[17.22158213  7.16380184]
[17.21049156  7.13888236]
[17.19620657  7.11247211]
[17.17879486  7.08543665]
[17.15788848  7.0573757 ]
[17.13253261  7.02725518]
[17.1028473   6.99543923]
[17.06758147  6.96066281]
[17.02699378  6.92320227]
[16.93251067  6.90330885]
[16.84331701  6.87690443]
[16.75789465  6.8441917 ]
[16.67642885  6.80592604]
[16.59913439  6.7631262 ]
[16.52241705  6.71455907]
[16.44961955  6.66269258]
[16.37754617  6.60596323]
[16.30704848  6.5452312 ]
[16.23768064  6.48044894]
[16.14863386  6.39107561]
[16.05589892  6.28740678]
[15.97256652  6.18260738]
[16.13520108  6.06543295]
[16.24704206  5.94453408]
[16.30779878  5.82486138]
[16.32797849  5.70296146]
[16.31348804  5.57531377]
[16.26777375  5.44066835]
[16.19110418  5.29239875]
[16.06993683  5.10788264]
[15.93381548  4.93058886]
[15.76476377  4.72722282]
[15.59679341  4.53430442]
[15.42144868  4.33717529]
[15.24197526  4.13713317]
[15.05737198  3.93132227]
[14.86185401  3.71171676]
[14.66544086  3.48763664]
[14.4665451   3.25546152]
[14.26775216  3.01599846]
[14.06775383  2.7650375 ]
[13.84225602  2.46665554]
[13.66488966  2.21101619]
[13.49931579  1.95275523]
[13.34373688  1.68793575]
[13.2029115   1.42386266]
[13.07959636  1.16817632]
[12.96762143  0.91270082]
[12.87074089  0.67102544]
[12.7863557  0.445557 ]
[12.71169435  0.23838725]
[12.64551492  0.05533684]
[12.58074952 -0.1151488 ]
[12.51561221 -0.27000938]
[12.44553953 -0.41225577]
[12.37925166 -0.5195031 ]
[12.30842239 -0.60758692]
[12.22231906 -0.68424575]
[12.13847609 -0.72931126]
[12.05810634 -0.75104382]
[11.97841548 -0.75671047]
[11.89614014 -0.74992756]
[11.81172628 -0.73263589]
[11.73179326 -0.7086236 ]
[11.64889068 -0.67821442]
[11.5655262  -0.64356884]
[11.48425477 -0.60726866]
[11.40138683 -0.56908694]
[11.319386   -0.53136212]
[11.23858641 -0.49535856]
[11.15925213 -0.46209416]
[11.0797128  -0.43155713]
[11.00913035 -0.40001817]
[10.94127655 -0.37338401]
[10.8747671  -0.35089717]
[10.81330282 -0.33331797]
[10.75383124 -0.31886255]
[10.69973463 -0.30736361]
[10.64842999 -0.29702443]
[10.59956466 -0.28637937]
[10.55774788 -0.27466771]
[10.52136397 -0.25994671]
[10.49425522 -0.24246146]
[10.47284946 -0.2201551 ]
[10.45909575 -0.19482811]
[10.4502653  -0.16423527]
[10.44627596 -0.12893341]
[10.44625427 -0.08913045]
[10.45071601 -0.04233252]
[1.04572722e+01 6.92328938e-03]
[10.46457621  0.05803864]
[10.47096693  0.11036028]
[10.47458908  0.16322682]
[10.47354877  0.21601539]
[10.46609103  0.26818547]
[10.4503563   0.32073759]
[10.41921834  0.38437973]
[10.37739386  0.44086924]
[10.32720047  0.49361478]
[10.26882385  0.5456912 ]
[10.2091657   0.59357586]
[10.12648151  0.65925339]
[10.04783032  0.7195745 ]
[9.96921204 0.778118  ]
[9.8934148  0.83284714]
[9.8182856  0.88498229]
[9.74148054 0.93515908]
[9.67010097 0.97748237]
[9.60442363 1.01154139]
[9.5349522  1.04205581]
[9.46402259 1.06711205]
[9.38812    1.08807205]
[9.29330103 1.1082245 ]
[9.09631029 1.09848881]
[8.92380764 1.09700237]
[8.77536598 1.10532061]
[8.55241335 1.13664551]
[8.43795589 1.17932277]
[8.33794559 1.23456427]
[8.24569301 1.30602609]
[8.16797956 1.38996998]
[8.10035694 1.49112397]
[8.04735577 1.60676149]
[8.01195421 1.73194096]
[7.99291102 1.87309932]
