Person 91
Starting Actual Velocity = [ 1.09990928 -0.4609754 ]
[17.3261222  -7.32989115]
[18.07929293 -7.63927653]
[18.26704002 -7.71301847]
[18.32583921 -7.73537373]
[18.34197252 -7.73970267]
[18.34558347 -7.73877574]
[18.34541963 -7.73630521]
[18.34437685 -7.73418052]
[18.34284046 -7.73167289]
[18.34165537 -7.73049138]
[18.33942126 -7.72662882]
[18.33779639 -7.72451337]
[18.33593227 -7.72183372]
[18.33431718 -7.71990575]
[18.33350343 -7.72022848]
[18.33121657 -7.71670493]
[18.33100689 -7.71876788]
[18.33621632 -7.73465249]
[18.3284906  -7.71788371]
[18.32445342 -7.71031093]
[18.32505329 -7.71469165]
[18.32056487 -7.706161  ]
[18.31746938 -7.70113488]
[18.31496543 -7.69764394]
[18.31280445 -7.69507793]
[18.3145959  -7.70257517]
[18.31288338 -7.70149856]
[18.30884814 -7.6946474 ]
[18.30579929 -7.6902096 ]
[18.30324079 -7.68700951]
[18.30118248 -7.6850935 ]
[18.29930776 -7.68368871]
[18.29749847 -7.68250437]
[18.29571058 -7.68143111]
[18.29392778 -7.68042782]
[18.29177608 -7.67859217]
[18.28985767 -7.6773576 ]
[18.28783563 -7.67592861]
[18.29049567 -7.68543676]
[18.2872276  -7.68147727]
[18.28330182 -7.67594744]
[18.28009695 -7.67204472]
[18.28130619 -7.67820648]
[18.27684561 -7.67172059]
[18.27338609 -7.66742739]
[18.27072222 -7.66492588]
[18.26838242 -7.66318113]
[18.26617507 -7.66176931]
[18.26446342 -7.66149727]
[18.26273349 -7.66123683]
[18.26122489 -7.66150689]
[18.25820384 -7.65853571]
[18.25591078 -7.65714304]
[18.25393709 -7.65646975]
[18.25258332 -7.65716115]
[18.24958366 -7.65440908]
[18.24776543 -7.65415795]
[18.24551022 -7.65303173]
[18.24330219 -7.65202983]
[18.24086914 -7.65058665]
[18.23882169 -7.64996132]
[18.23670007 -7.64921632]
[18.2358358  -7.65106152]
[18.24179479 -7.66646259]
[18.23603143 -7.65898707]
[18.23022792 -7.65123672]
[18.2264916  -7.64749306]
[18.22742845 -7.65291941]
[18.22592763 -7.65373725]
[18.22177597 -7.64945755]
[18.21778483 -7.64543016]
[18.21411586 -7.6419885 ]
