Person 91
Starting Actual Velocity = [1.19584154 0.1398369 ]
[18.89901072  2.12928411]
[19.70979309  2.23759137]
[19.91183209  2.26820827]
[19.97865329  2.27746369]
[19.999013    2.28146082]
[20.00564644  2.28402541]
[20.00807872  2.28624306]
[20.01040848  2.28755762]
[20.01183051  2.28927159]
[20.01513308  2.28967197]
[20.01417428  2.29313582]
[20.01565512  2.29496562]
[20.01617568  2.29755792]
[20.0176504   2.29961461]
[20.02235876  2.29968427]
[20.02129203  2.30382593]
[20.02838057  2.30276053]
[20.06100011  2.28501182]
[20.03687711  2.30604929]
[20.02821584  2.31631468]
[20.03768562  2.31504624]
[20.02819653  2.32597423]
[20.02371766  2.33362501]
[20.02127146  2.34003994]
[20.01991172  2.34591031]
[20.03227786  2.34403883]
[20.03244631  2.35017824]
[20.02457376  2.36113854]
[20.01984467  2.37024753]
[20.01657854  2.37861129]
[20.01473649  2.38637681]
[20.01331528  2.39418527]
[20.01193331  2.40228933]
[20.01044309  2.41079336]
[20.00878559  2.41974454]
[20.0058456   2.42967903]
[20.00338802  2.43968802]
[20.00043596  2.45027197]
[20.01161982  2.45465073]
[20.0043222   2.46905723]
[19.99511124  2.48432188]
[19.98790928  2.49857605]
[19.99326949  2.50761881]
[19.98212475  2.52454106]
[19.97375963  2.54003435]
[19.96748219  2.55460714]
[19.96198147  2.5689355 ]
[19.95672898  2.58328224]
[19.95264746  2.59735543]
[19.94841347  2.61171771]
[19.94465425  2.62613996]
[19.93695527  2.64206158]
[19.93104157  2.65725621]
[19.92589222  2.67218344]
[19.92227231  2.68666894]
[19.9145432   2.70248451]
[19.90972862  2.71719414]
[19.90386586  2.73214702]
[19.89815858  2.74688196]
[19.89196199  2.76154998]
[19.88675965  2.77568929]
[19.88145372  2.78964251]
[19.87930169  2.80253043]
[19.89605655  2.80984229]
[19.88096615  2.82755153]
[19.86658638  2.84388753]
[19.85759565  2.85785968]
[19.86043816  2.86820599]
[19.85737859  2.88016904]
[19.84794346  2.89338617]
[19.83914875  2.90572775]
[19.8313368   2.91716101]
[19.82525044  2.92760343]
[19.82133747  2.93707151]
[19.82213986  2.94509801]
[19.81573267  2.95459953]
[19.81112348  2.96323486]
[19.80749404  2.97126598]
[19.80370971  2.97893849]
[19.79924636  2.98642564]
[19.79509622  2.99349359]
[19.79244548  2.99991874]
[19.78671065  3.00668141]
[19.7825082   3.01277245]
[19.77916268  3.01838692]
[19.77564062  3.02376394]
[19.77763703  3.02780722]
[19.77538597  3.03257452]
[19.76967576  3.03777785]
[19.76349595  3.0427713 ]
[19.75827333  3.04730474]
[19.75483429  3.05127682]
[19.75755112  3.05397463]
[19.7714181   3.05458878]
[19.75851776  3.06005096]
[19.74857326  3.06467913]
[19.74210881  3.06846646]
[19.7357087   3.07201196]
[19.74408969  3.07308534]
[19.75661535  3.0735829 ]
[19.7370218   3.07894332]
[19.72308777  3.08315743]
[19.71303431  3.08655214]
[19.70469693  3.08947208]
[19.69675488  3.09212046]
[19.68901395  3.09454111]
[19.68304411  3.09657406]
[19.67693891  3.09845863]
[19.67068854  3.10019696]
[19.66428694  3.10178573]
[19.65887268  3.10310088]
[19.65225307  3.10435992]
[19.64434619  3.10554713]
[19.63772829  3.10639017]
[19.63077702  3.10702653]
[19.623042    3.10747683]
[19.61686672  3.10748294]
[19.61166497  3.10704703]
[19.60522551  3.10633152]
[19.59687323  3.10537419]
[19.58837216  3.10395803]
[19.58129441  3.10181575]
[19.57451043  3.09894136]
[19.56722735  3.09530687]
[19.56008914  3.09067973]
[19.55066145  3.08531959]
[19.53941346  3.07923049]
[19.52894629  3.07184035]
[19.52271688  3.06186955]
[19.51143227  3.05076303]
[19.54574882  3.02618154]
[19.53001131  3.00422471]
[19.5015043   2.98547608]
[19.47709945  2.96441857]
[19.45589145  2.9404368 ]
[19.43759731  2.91206278]
[19.42147466  2.87812083]
[19.41137557  2.83119019]
[19.3921078   2.78745823]
[19.3727518   2.73970366]
[19.35608712  2.67784734]
[19.33544742  2.61674898]
[19.3145319   2.54779644]
[19.29263849  2.47169174]
[19.26963322  2.38527106]
[19.24473654  2.29336334]
[19.21802734  2.19328768]
[19.18909092  2.08519542]
[19.15783479  1.97314946]
[19.1239705   1.85373142]
[19.08708973  1.72721962]
[19.04680004  1.59399952]
[19.0027232   1.45459563]
[18.98458155  1.34013341]
[18.95744698  1.21483283]
[18.92271462  1.08033805]
[18.88135534  0.93847128]
[18.8333365   0.78824383]
[18.77962214  0.63465385]
[18.71964605  0.47676424]
[18.65226699  0.3136702 ]
[18.5147279  -0.01946614]
[18.43016984 -0.15933939]
[18.34158334 -0.29373042]
[18.24791744 -0.42333159]
[18.14956598 -0.54633973]
[18.05069016 -0.65687915]
[17.94993487 -0.7574463 ]
[17.84358482 -0.85209944]
[17.73376743 -0.93839473]
[17.61628179 -1.01997202]
[17.49325684 -1.09495828]
[17.37566823 -1.15722804]
[17.25307932 -1.21566934]
[17.12570428 -1.27099596]
[16.99616356 -1.32280751]
[16.86712128 -1.37084832]
[16.73404303 -1.41826986]
[16.60421368 -1.46167124]
[16.47279987 -1.50351903]
[16.34138038 -1.54234784]
[16.20913401 -1.5772245 ]
[16.0350848  -1.62466857]
[15.84585855 -1.66398093]
[15.66642712 -1.68328659]
[15.4722233  -1.75055551]
[15.29882827 -1.7830556 ]
[15.11865447 -1.79718551]
[14.94034378 -1.79035311]
[14.76045622 -1.76573247]
[14.57536715 -1.72553561]
[14.38459019 -1.67209788]
[14.1812672 -1.6066343]
[13.94286399 -1.52422158]
[13.7185125  -1.44815229]
