Person 91
Starting Actual Velocity = [1.10897917 0.45777897]
[17.44283083  7.20068438]
[18.20578802  7.51561744]
[18.39791751  7.59491932]
[18.4589236   7.62010527]
[18.47700365  7.62757   ]
[18.48249495  7.62983748]
[18.48419686  7.63054045]
[18.48475469  7.63077369]
[18.48492445  7.63084579]
[18.48500047  7.63088334]
[18.48498334  7.6308741 ]
[18.48498623  7.6308782 ]
[18.4849741   7.63087436]
[18.48497325  7.63087718]
[18.48500987  7.63090145]
[18.48498058  7.63088822]
[18.48504224  7.63092663]
[18.48531394  7.63108349]
[18.48508645  7.63095882]
[18.48499626  7.63091137]
[18.4850843  7.6309642]
[18.48498093  7.63090962]
[18.48492782  7.63088318]
[18.48489624  7.63086881]
[18.48487732  7.63086154]
[18.48499817  7.63093222]
[18.48500034  7.63093685]
[18.48492339  7.63089747]
[18.48487811  7.63087559]
[18.48484865  7.63086247]
[18.48483555  7.63085839]
[18.48482851  7.63085765]
[18.48482371  7.63085811]
[18.48481973  7.63085899]
[18.48481604  7.63085996]
[18.48480136  7.63085487]
[18.48479356  7.63085347]
[18.48478281  7.63085038]
[18.48490242  7.63091814]
[18.48486173  7.63089869]
[18.4848017   7.63086858]
[18.4847601   7.63084833]
[18.48483466  7.6308907 ]
[18.484763    7.63085404]
[18.4847159   7.63083043]
[18.48468866  7.63081733]
[18.48466939  7.63080834]
[18.48465331  7.63080083]
[18.4846495   7.63079963]
[18.48464525  7.63079789]
[18.48464634  7.63079865]
[18.48461112  7.63077972]
[18.48459285  7.63076942]
[18.48458192  7.63076258]
[18.4845853   7.63076279]
[18.48455078  7.63074247]
[18.48454288  7.6307356 ]
[18.484525    7.63072284]
[18.48450794  7.63070982]
[18.48448565  7.63069331]
[18.48447155  7.63068027]
[18.48445563  7.63066536]
[18.48446651  7.63066324]
[18.4846175   7.63073167]
[18.48453029  7.63067502]
[18.48443961  7.63061585]
[18.48439015  7.63057687]
[18.48443503  7.63058415]
[18.48443094  7.63056391]
[18.48437345  7.63051467]
[18.48431798  7.63046489]
[18.48426784  7.63041614]
[18.48423003  7.63037161]
[18.48420867  7.63033283]
[18.48422379  7.63030866]
[18.48417861  7.63025152]
[18.48414632  7.63019769]
[18.48412015  7.63014328]
[18.48409108  7.63008359]
[18.48405444  7.6300163 ]
[18.48401844  7.62994512]
[18.48399273  7.62987381]
[18.48393971  7.62978529]
[18.4838975   7.62969692]
[18.48386031  7.62960517]
[18.48381955  7.62950569]
[18.48382024  7.62941568]
[18.48378488  7.62930046]
[18.4837195   7.62916504]
[18.48364773  7.62902045]
[18.48358129  7.62887076]
[18.48352679  7.62871667]
[18.4835171   7.62856561]
[18.48357789  7.62841768]
[18.48344098  7.62818058]
[18.48332241  7.62794314]
[18.48322685  7.62770212]
[18.48312668  7.62744686]
[18.48313088  7.62719563]
[18.48314608  7.6269025 ]
[18.48292642  7.62652992]
[18.48274549  7.62616207]
[18.48258883  7.62578712]
[18.48243845  7.62539674]
[18.48228358  7.6249875 ]
[18.48212284  7.6245584 ]
[18.48196883  7.62410441]
[18.48180461  7.6236219 ]
[18.48162976  7.62310958]
[18.4814438  7.6225661]
[18.48125486  7.62198449]
[18.48104413  7.6213675 ]
[18.48081171  7.62072112]
[18.48057766  7.62003245]
[18.48032708  7.61930284]
[18.48005633  7.61853622]
[18.47978174  7.61771112]
[18.47949414  7.61681621]
[18.47917477  7.61586055]
[18.47934565  7.6161207 ]
[18.47934657  7.61597544]
[18.4792135   7.61551783]
[18.47897597  7.61482443]
[18.47866024  7.61394153]
[18.47827423  7.61293126]
[18.47783923  7.61184142]
[18.47736858  7.61065345]
[18.4768566  7.6092806]
[18.47619753  7.60596427]
[18.47549259  7.60157364]
[18.47454068  7.59823363]
[18.47361847  7.5956734 ]
[18.47271151  7.59321206]
[18.47179842  7.59075492]
[18.47084929  7.58818467]
[18.46984152  7.58543819]
[18.46869029  7.58214729]
[18.46754006  7.57916021]
[18.466362   7.5761314]
[18.46504159  7.57261733]
[18.46372467  7.5692681 ]
[18.46233865  7.56573858]
[18.46088816  7.56206269]
[18.45933878  7.55813132]
[18.45772626  7.55408517]
[18.45601861  7.54981508]
[18.45420729  7.54530634]
[18.45232654  7.54067586]
[18.45033614  7.53579501]
[18.44822715  7.53064846]
[18.44599066  7.52522064]
[18.44361771  7.51949561]
[18.44112976  7.51354393]
[18.43852649  7.507365  ]
[18.43580731  7.50095828]
[18.43297156  7.49432345]
[18.42997801  7.48735283]
[18.42685917  7.48014197]
[18.42356899  7.47257287]
[18.42004784  7.46450225]
[18.41395206  7.44946838]
[18.40971204  7.44027112]
[18.40536989  7.43084562]
[18.40084215  7.42101157]
[18.39610498  7.41073282]
[18.39128563  7.4003259 ]
[18.38631615  7.38963321]
[18.38102936  7.37827558]
[18.37548046  7.36640155]
[18.36947275  7.35357387]
[18.36305251  7.33992904]
[18.35495273  7.31233001]
[18.34671806  7.28637809]
[18.33827549  7.26161246]
[18.32969393  7.2380318 ]
[18.3210626   7.21563559]
[18.31207004  7.19335356]
[18.30310573  7.17206875]
[18.29387138  7.15084905]
[18.28449799  7.12991729]
[18.27498223  7.10916619]
[18.26268601  7.08254272]
[18.24930783  7.05426076]
[18.23654918  7.02806869]
[18.22307491  7.00227185]
[18.21103216  6.97931435]
[18.1986062   6.95549529]
[18.18637712  6.93199838]
[18.17412436  6.9083804 ]
[18.16161104  6.8841686 ]
[18.14880906  6.85931987]
[18.13522843  6.83284409]
[18.11916103  6.80121575]
[18.10423832  6.77211403]
[18.08789127  6.74014518]
[18.07284303  6.7109908 ]
[18.05793598  6.68218248]
[18.04319627  6.65375369]
[18.02836385  6.62516043]
[18.01285057  6.59520486]
[17.9972086   6.56501779]
[17.98113538  6.53397981]
[17.96460942  6.5020494 ]
[17.94728244  6.46851938]
[17.92677825  6.42850939]
[17.90862506  6.39350317]
[17.88996206  6.35749917]
[17.87039057  6.31967219]
[17.85022062  6.28065773]
[17.82981171  6.24118798]
[17.80837679  6.19962509]
[17.78666036  6.15751577]
[17.76467522  6.11487711]
[17.74243256  6.07172106]
[17.72039343  6.02900088]
[17.69722454  5.98392425]
[17.67283819  5.93632737]
[17.64618644  5.8840123 ]
[17.62052836  5.83407134]
[17.59350751  5.78143316]
[17.56193804  5.71923137]
[17.53109661  5.65943313]
[17.50129393  5.60256145]
[17.47161863  5.5465387 ]
[17.44092777  5.48895092]
[17.40913174  5.42971478]
[17.37807634  5.37279219]
[17.34526601  5.31294957]
[17.3112074   5.25141895]
[17.27651601  5.18960938]
[17.23973655  5.1246369 ]
[17.20141138  5.0578763 ]
[17.16143345  4.98932639]
[17.11968779  4.91899548]
[17.07518643  4.84514133]
[17.03103193  4.77384186]
[16.98478741  4.70004955]
[16.93531954  4.62171311]
[16.88429008  4.54224357]
[16.82968122  4.45804703]
[16.7733433   4.37303492]
[16.7131172   4.28359419]
[16.6475401   4.18786327]
[16.57960531  4.09230969]
[16.50698109  3.99341614]
[16.43452747  3.90010071]
[16.35744456  3.80455161]
[16.2811659   3.71555118]
[16.20029952  3.62508833]
[16.11603212  3.53554693]
[16.02819658  3.44697539]
[15.94012807  3.36298228]
[15.84882578  3.27935304]
[15.7542248   3.19592657]
[15.65628563  3.11267773]
[15.55498461  3.0296884 ]
[15.45030415  2.94711744]
[15.34222386  2.86517065]
[15.2286845   2.78237162]
[15.09524592  2.68718009]
[14.96118204  2.59907239]
[14.82549272  2.51569455]
[14.6849881   2.43432588]
[14.54640365  2.3587652 ]
[14.4198365   2.27102156]
[14.29094698  2.18987645]
[14.1553139   2.11149858]
[14.01505433  2.03706356]
[13.86774848  1.96472331]
[13.71068653  1.89297312]
[13.55339822  1.82512936]
[13.40067239  1.76154654]
[13.2422765   1.69752886]
[13.08416958  1.63441858]
[12.92387842  1.57072667]
[12.74703851  1.50130139]
[12.56271802  1.4276355 ]
[12.38204184  1.35243612]
[12.20784282  1.27702328]
[11.98185197  1.18082962]
[11.79856257  1.09361854]
[11.61912063  1.00550216]
[11.43651065  0.91309714]
[11.25902315  0.82021577]
[11.08012823  0.72348031]
[10.90449568  0.62511706]
[10.73667835  0.52776965]
[10.57125135  0.42821302]
[10.41875993  0.33317792]
[10.27399998  0.23955744]
[10.13812312  0.14815715]
[10.01225128  0.05982357]
[ 9.89743411 -0.02457995]
[ 9.7946035  -0.10420134]
[ 9.70452817 -0.17823049]
[ 9.62814016 -0.24489982]
[ 9.56475021 -0.30410568]
[ 9.51407667 -0.35725856]
[ 9.4753912  -0.40269669]
[ 9.44976074 -0.44106664]
[ 9.43592253 -0.47183953]
[ 9.43103725 -0.49555074]
[ 9.43800265 -0.51166923]
[ 9.45379594 -0.52086455]
[ 9.47718192 -0.52358924]
[ 9.5068744  -0.52037684]
[ 9.53846781 -0.51330914]
[ 9.57704019 -0.50003792]
[ 9.61817955 -0.48265808]
[ 9.65439867 -0.46545686]
[ 9.69152169 -0.44543363]
[ 9.72879759 -0.42303519]
[ 9.76860797 -0.39662453]
[ 9.80408481 -0.37070174]
[ 9.83806433 -0.34343731]
[ 9.87020018 -0.31505404]
[ 9.90023755 -0.28571404]
[ 9.92800562 -0.25552123]
[ 9.95340844 -0.2245257 ]
[ 9.97641567 -0.19272939]
[ 9.99489151 -0.16239518]
[10.00942586 -0.13337554]
[10.02426186 -0.10097605]
[10.04125573 -0.06244137]
[10.05211395 -0.02788965]
[1.00597192e+01 5.48519003e-03]
[10.06773133  0.04283976]
[10.0727685   0.07903291]
[10.07823473  0.11946294]
[10.08238508  0.16145226]
[10.04930703  0.1730186 ]
[10.01910891  0.18643029]
[9.99234914 0.20720868]
[9.96842602 0.23147927]
[9.94746401 0.26122222]
[9.9298389  0.29910822]
[9.91384595 0.33946113]
[9.90050687 0.38784586]
[9.88764636 0.43757989]
[9.87641331 0.49487961]
[9.86442721 0.55226956]
[9.85282881 0.61652231]
[9.83930913 0.67959153]
[9.82424044 0.74475575]
[9.80815187 0.81953324]
[9.78768312 0.88334947]
[9.76452821 0.94789564]
[9.73824515 1.01668486]
[9.70838155 1.0814189 ]
[9.67486492 1.14572611]
[9.63748999 1.20922995]
[9.59528263 1.27525923]
[9.54849678 1.33946418]
[9.49837857 1.39795552]
[9.44274381 1.45755789]
[9.38433342 1.51096082]
[9.32024437 1.56451894]
[9.25411128 1.61150263]
[9.20996542 1.6600102 ]
[9.16075132 1.7037095 ]
[9.10670821 1.74244457]
[9.04808396 1.77607386]
[8.98512906 1.80446881]
[8.91809085 1.82751244]
[8.84720828 1.84509817]
[8.77270739 1.85712888]
[8.69183271 1.86440445]
[8.61050846 1.86472609]
[8.52615008 1.85925559]
[8.43890515 1.84793509]
[8.34890191 1.83071956]
[8.25625184 1.80757965]
[8.16105364 1.77850551]
[8.06339867 1.74351143]
[7.96337762 1.70264164]
[7.86108842 1.65597683]
[7.75664489 1.60364154]
[7.65018598 1.54581193]
[7.53731842 1.48023368]
[7.43198009 1.41474269]
[7.3254283  1.34518277]
[7.21792429 1.27199158]
[7.09959786 1.20531507]
[6.98792336 1.13894214]
[6.87212613 1.0672104 ]
[6.75825585 0.99371764]
[6.65199814 0.9224844 ]
[6.53317924 0.84076716]
[6.39508669 0.74355235]
[6.27275131 0.65429729]
[6.16545662 0.57393199]
[6.06443454 0.49709649]
[5.97715117 0.42989047]
[5.8921865  0.36441899]
[5.81645656 0.30621905]
[5.73822088 0.24719071]
[5.67926432 0.20325252]
[5.62221991 0.16203579]
[5.57170976 0.12687441]
[5.52295554 0.09477261]
[5.4778649 0.0671388]
[5.43934117 0.04522766]
[5.40166366 0.02603599]
[5.36625872 0.01026974]
[ 5.33414113e+00 -2.04624791e-03]
[ 5.30352678 -0.01168375]
[ 5.27295223 -0.01884833]
[ 5.24467995 -0.02362726]
[ 5.21728772 -0.02629818]
[ 5.18954688 -0.02667492]
[ 5.16250359 -0.02503316]
[ 5.13714239 -0.02200766]
[ 5.11138309 -0.0166605 ]
[ 5.08727027 -0.01020626]
[ 5.06386102e+00 -2.07212048e-03]
[5.04037919 0.00871652]
[5.01872265 0.02043302]
[4.99739836 0.03519429]
[4.97573104 0.05633023]
[4.95579533 0.08224044]
[4.93876145 0.10997873]
[4.92465993 0.1393522 ]
[4.91339423 0.17224082]
[4.90507115 0.20652777]
[4.89948476 0.24189932]
[4.91414889 0.28696124]
[4.9289399  0.33161874]
[4.94514686 0.37885423]
[4.96280332 0.42872364]
[4.98193047 0.48127832]
[5.00253685 0.5365659 ]
[5.02461792 0.59463093]
[5.04815552 0.655515  ]
[5.07518998 0.72371849]
[5.10374107 0.79514114]
[5.1314766  0.86495856]
[5.16043769 0.93771896]
[5.19052291 1.01343336]
[5.22161204 1.09209933]
[5.25356564 1.17369764]
[5.28622508 1.25818866]
[5.31941308 1.34550882]
[5.35293478 1.43556717]
[5.38919978 1.53452393]
[5.42269045 1.62974926]
[5.45583607 1.72723474]
[5.48839856 1.82675551]
[5.51773387 1.92136802]
[5.54618068 2.01735129]
[5.57354592 2.11443293]
[5.59755027 2.20555365]
[5.62234396 2.30394074]
[5.64556082 2.4024837 ]
[5.66707102 2.50082065]
[5.68676825 2.59857325]
[5.70457172 2.69534981]
[5.72042759 2.7907488 ]
[5.73430964 2.88436251]
[5.74621912 2.975781  ]
[5.75618398 3.06459613]
[5.76425726 3.15040587]
[5.77051489 3.23281862]
[5.77384759 3.30596237]
[5.77585242 3.37563154]
[5.77727922 3.45117821]
[5.77683289 3.51253035]
[5.77536014 3.56560012]
[5.77326083 3.61878736]
[5.77050469 3.66751657]
[5.76723288 3.71168683]
[5.76358325 3.75123315]
[5.75946375 3.79953134]
[5.75540155 3.82797861]
[5.75137582 3.85184821]
[5.747471   3.87123642]
[5.74375227 3.8862734 ]
[5.74035581 3.89615316]
[5.73710591 3.90329025]
[5.73409998 3.90663246]
[5.73130937 3.90641868]
[5.72867852 3.90290761]
[5.72612448 3.89637405]
[5.72355814 3.88744862]
[5.72082803 3.87591218]
[5.71777167 3.8622166 ]
[5.71420137 3.84666257]
[5.70990504 3.82954809]
[5.70464781 3.81116495]
[5.69817389 3.79179546]
[5.69020878 3.77170943]
[5.68095707 3.75226141]
[5.66993231 3.73262337]
[5.6568865 3.7129732]
[5.64156657 3.69347428]
[5.62371719 3.6742746 ]
[5.60182098 3.65453132]
[5.57789429 3.63633676]
[5.55067226 3.61879017]
[5.51991952 3.60196777]
[5.485413   3.58592613]
[5.44694495 3.57070155]
[5.40432594 3.55630953]
[5.35738785 3.54274442]
[5.30598681 3.52997923]
[5.25000605 3.51796558]
[5.18935865 3.50663388]
[5.12399007 3.49589366]
[5.05388046 3.48563422]
[4.97904667 3.47572536]
[4.89407157 3.46564814]
[4.80965331 3.45595097]
[4.72081012 3.44609581]
[4.6277202  3.43588644]
[4.53060178 3.42511498]
[4.42971199 3.41356411]
[4.32538182 3.40104046]
[4.21040225 3.38656346]
[4.0999977 3.3712493]
[3.98727094 3.35426938]
[3.87264894 3.3354099 ]
[3.75657684 3.31446366]
[3.63951333 3.29123417]
[3.52192571 3.2655396 ]
[3.40428467 3.2372168 ]
[3.28705901 3.20612521]
[3.17071044 3.17215057]
[3.05568843 3.13520849]
[2.94242551 3.09524763]
[2.83133284 3.05225262]
[2.72279633 3.0062465 ]
[2.61717333 2.95729266]
[2.51478986 2.90549626]
[2.41593853 2.85100502]
[2.32087701 2.79400932]
[2.22982718 2.73474165]
[2.14297476 2.67347535]
[2.06046951 2.61052257]
[1.98242583 2.54623152]
[1.90892371 2.4809831 ]
[1.84001003 2.41518681]
[1.77570003 2.34927607]
[1.71597896 2.28370313]
[1.65693715 2.21440331]
[1.60305822 2.14661512]
[1.55739052 2.08518987]
[1.51597603 2.02604841]
[1.47867361 1.96964835]
[1.44307637 1.9127876 ]
[1.41377033 1.86346293]
[1.38803878 1.81815557]
[1.36567704 1.77722346]
[1.34647007 1.74098949]
[1.32922399 1.7077249 ]
[1.3150757  1.68050203]
[1.30373879 1.65956379]
[1.29492423 1.64509718]
[1.28834336 1.63723333]
[1.28371087 1.63604857]
[1.28074755 1.64156627]
[1.27918285 1.65375938]
[1.27875728 1.67255358]
[1.27922442 1.69783087]
[1.28035262 1.72943347]
[1.2816082  1.76441439]
[1.28310036 1.80454607]
[1.28467917 1.84962703]
[1.29557214 1.96828771]
[1.29618297 2.02780522]
[1.29670379 2.0960264 ]
[1.29673759 2.16845446]
[1.29618804 2.24475398]
[1.29489009 2.31908544]
[1.29297116 2.39622385]
[1.29037991 2.47589728]
[1.28707205 2.55783705]
[1.28300925 2.64177897]
[1.27815788 2.72746422]
[1.27248797 2.8146402 ]
[1.26597222 2.90306113]
[1.25817043 2.99899782]
[1.24931849 3.09579618]
[1.23938832 3.19318375]
[1.228352   3.29089822]
[1.21618182 3.38868727]
[1.2028506  3.48630821]
[1.18924016 3.57698414]
[1.17459331 3.66713882]
[1.1588932  3.75659359]
[1.14097154 3.85154416]
[1.12179644 3.9452703 ]
[1.10152836 4.03770672]
[1.08150749 4.12251827]
[1.05907844 4.21184378]
[1.0356402  4.29931818]
[1.01128152 4.38477455]
[0.98777886 4.46248973]
[0.96194846 4.54356538]
[0.93731565 4.61687866]
[0.91232468 4.68784529]
[0.88712101 4.75631362]
[0.86186884 4.82213197]
[0.83675208 4.88514978]
[0.81197503 4.94521889]
[0.78776272 5.00219482]
[0.76436095 5.05593805]
[0.74203593 5.10631527]
[0.72107359 5.1532005 ]
[0.70177857 5.19647613]
[0.68447275 5.23603364]
[0.66949348 5.27177426]
[0.65719141 5.30360925]
[0.64652181 5.33542246]
[0.64042475 5.36191559]
[0.63962984 5.38034834]
[0.64309817 5.39461012]
[0.65120002 5.40466006]
[0.66429789 5.41046389]
[0.68407864 5.41215517]
[0.70865729 5.40905984]
[0.73925306 5.4016454 ]
[0.77615321 5.38989531]
[0.82279515 5.37274085]
[0.87357439 5.35195189]
[0.93134835 5.32679705]
[1.00102017 5.29528474]
[1.07427571 5.26141292]
[1.16106577 5.22080588]
